,0
1491,USTR
1492,UTEK
1493,UTIW
1494,UWTI
1495,VA
1496,VAR
1497,VCO
1498,VDSI
1499,VGGL
1500,VIAB
1501,VIAS
1502,VICL
1503,VISI
1504,VISN
1505,VLCCF
1506,VLTC
1507,VMEM
1508,VNTV
1509,VOLC
1510,VRML
1511,VRNG
1512,VRTU
1513,VSAR
1514,VSCI
1515,VSCP
1516,VSI
1517,VSLR
1518,VSR
1519,VTAE
1520,VTG
1521,VTL
1522,VTSS
1523,VTTI
1524,VVUS
1525,VYFC
1526,WAC
1527,WAGE
1528,WAIR
1529,WAVX
1530,WBAI
1531,WBC
1532,WBMD
1533,WCG
1534,WDR
1535,WDTI
1536,WEBK
1537,WFBI
1538,WFD
1539,WFM
1540,WFT
1541,WG
1542,WGA
1543,WGBS
1544,WGP
1545,WHX
1546,WHZ
1547,WIBC
1548,WIFI
1549,WILN
1550,WIN
1551,WLB
1552,WLH
1553,WLRHU
1554,WLT
1555,WMAR
1556,WMGI
1557,WMLP
1558,WNR
1559,WNRL
1560,WPCS
1561,WPPGY
1562,WPT
1563,WPX
1564,WR
1565,WRES
1566,WSH
1567,WSTC
1568,WTR
1569,WTSL
1570,WTW
1571,WUBA
1572,WWAV
1573,WYN
1574,XBKS
1575,XCO
1576,XGTI
1577,XGTIW
1578,XIV
1579,XLS
1580,XNY
1581,XON
1582,XOOM
1583,XOVR
1584,XRA
1585,XRS
1586,XUE
1587,YDKN
1588,YDLE
1589,YGE
1590,YHOO
1591,YOD
1592,YOKU
1593,YRCW
1594,YUMA
1595,YUME
1596,YZC
1597,ZA
1598,ZAGG
1599,ZAYO
1600,ZBB
1601,ZFC
1602,ZFGN
1603,ZINC
1604,ZIONW
1605,ZLTQ
1606,ZMH
1607,ZN
1608,ZPIN
1609,ZQK
1610,ZSPH
1611,ZU
1612,ZX
